symbol
MX10Y.GBOND
US3Y.GBOND
DE5Y.GBOND
FR10Y.GBOND
NL10Y.GBOND
ES10Y.GBOND
TR10Y.GBOND
DE1Y.GBOND
CN10Y.GBOND
KR10Y.GBOND
DE3Y.GBOND
MY10Y.GBOND
US10Y.GBOND
US5Y.GBOND
US1Y.GBOND
IN10Y.GBOND
ID10Y.GBOND
BR10Y.GBOND
DE10Y.GBOND
IT10Y.GBOND
TH10Y.GBOND
